User_ID,Age,Gender,Platform,Daily_Usage_Time (minutes),Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion
191,27.0,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom
192,32.0,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger
193,24.0,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral
194,29.0,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness
195,26.0,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety
196,33.0,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom
197,22.0,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral
198,35.0,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness
199,28.0,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger
200,27.0,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral
201,25.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
202,30.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
203,22.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
204,28.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
205,33.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
206,21.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
207,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
208,24.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
209,29.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
210,31.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
211,23.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
212,26.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
213,34.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
214,22.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
215,28.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
216,21.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
217,35.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
218,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
219,23.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
220,32.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
221,26.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
222,24.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
223,29.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
224,33.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
225,22.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
226,31.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
227,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
228,25.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
229,30.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
230,26.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
231,34.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
232,28.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
233,23.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
234,21.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
235,29.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
236,24.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
237,33.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
238,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
239,22.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
240,28.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
241,31.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
242,25.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
243,29.0,Male,Twitter,95.0,4.0,50.0,22.0,22.0,Anger
244,23.0,Non-binary,Facebook,105.0,2.0,25.0,12.0,18.0,Neutral
245,35.0,Female,LinkedIn,60.0,1.0,15.0,7.0,14.0,Boredom
246,30.0,Male,Instagram,175.0,7.0,100.0,33.0,38.0,Happiness
247,21.0,Female,Twitter,90.0,3.0,37.0,14.0,20.0,Sadness
248,26.0,Non-binary,Facebook,75.0,2.0,30.0,12.0,18.0,Anxiety
249,32.0,Male,Instagram,130.0,5.0,80.0,28.0,31.0,Neutral
250,28.0,Female,LinkedIn,55.0,1.0,12.0,6.0,10.0,Boredom
251,27.0,Male,Instagram,165.0,6.0,85.0,30.0,28.0,Happiness
252,24.0,Female,Twitter,75.0,3.0,33.0,18.0,19.0,Anger
253,29.0,Non-binary,Facebook,85.0,2.0,27.0,9.0,20.0,Neutral
254,33.0,Female,Instagram,145.0,4.0,65.0,23.0,35.0,Sadness
255,31.0,Male,LinkedIn,60.0,1.0,15.0,7.0,17.0,Anxiety
256,22.0,Female,Whatsapp,70.0,2.0,42.0,10.0,21.0,Anxiety
257,25.0,Male,Telegram,90.0,3.0,22.0,11.0,22.0,Boredom
258,29.0,Non-binary,Snapchat,50.0,2.0,18.0,7.0,18.0,Sadness
259,28.0,Female,Twitter,95.0,4.0,48.0,22.0,25.0,Happiness
260,27.0,Male,Facebook,60.0,1.0,12.0,5.0,15.0,Boredom
261,30.0,Female,Instagram,175.0,6.0,72.0,30.0,33.0,Happiness
262,23.0,Male,Whatsapp,70.0,3.0,22.0,10.0,18.0,Anger
263,34.0,Non-binary,Telegram,80.0,2.0,21.0,8.0,20.0,Neutral
264,26.0,Female,Snapchat,120.0,4.0,55.0,18.0,30.0,Anxiety
265,25.0,Male,Twitter,90.0,6.0,42.0,14.0,26.0,Sadness
266,29.0,Non-binary,Facebook,60.0,1.0,12.0,4.0,12.0,Boredom
267,28.0,Male,Instagram,165.0,5.0,78.0,23.0,35.0,Happiness
268,31.0,Female,Whatsapp,65.0,2.0,27.0,10.0,20.0,Neutral
269,27.0,Male,Telegram,105.0,3.0,48.0,20.0,28.0,Anxiety
270,22.0,Non-binary,Snapchat,75.0,2.0,21.0,8.0,20.0,Sadness
271,24.0,Female,Instagram,140.0,4.0,65.0,22.0,30.0,Happiness
272,35.0,Male,Twitter,70.0,1.0,13.0,8.0,10.0,Boredom
273,21.0,Non-binary,Facebook,55.0,3.0,17.0,7.0,12.0,Neutral
274,29.0,Female,Whatsapp,90.0,2.0,24.0,12.0,22.0,Anger
275,25.0,Male,Telegram,80.0,4.0,30.0,13.0,25.0,Neutral
276,28.0,Non-binary,Snapchat,115.0,3.0,38.0,18.0,27.0,Anxiety
277,32.0,Female,Instagram,155.0,6.0,75.0,25.0,38.0,Happiness
278,26.0,Male,Twitter,75.0,2.0,23.0,12.0,18.0,Sadness
279,33.0,Non-binary,Facebook,65.0,1.0,13.0,7.0,14.0,Anxiety
280,27.0,Female,Whatsapp,90.0,4.0,37.0,18.0,20.0,Neutral
281,31.0,Male,Telegram,50.0,2.0,20.0,10.0,12.0,Sadness
282,24.0,Non-binary,Snapchat,85.0,3.0,33.0,20.0,18.0,Happiness
283,34.0,Female,Instagram,120.0,5.0,60.0,25.0,25.0,Anger
284,22.0,Male,Twitter,70.0,1.0,22.0,7.0,22.0,Neutral
285,29.0,Non-binary,Facebook,75.0,2.0,20.0,8.0,20.0,Boredom
286,28.0,Female,Whatsapp,100.0,4.0,37.0,14.0,26.0,Anxiety
287,31.0,Male,Telegram,85.0,3.0,45.0,20.0,28.0,Sadness
288,21.0,Non-binary,Snapchat,60.0,1.0,18.0,7.0,12.0,Neutral
289,25.0,Female,Instagram,170.0,6.0,83.0,30.0,33.0,Happiness
290,30.0,Male,Twitter,70.0,2.0,30.0,12.0,20.0,Anxiety
291,27.0,Non-binary,Facebook,50.0,1.0,10.0,4.0,10.0,Boredom
292,32.0,Female,Whatsapp,105.0,4.0,55.0,25.0,25.0,Anger
293,24.0,Male,Telegram,75.0,3.0,37.0,16.0,22.0,Neutral
294,29.0,Female,Snapchat,95.0,2.0,23.0,10.0,28.0,Sadness
295,26.0,Male,Instagram,150.0,5.0,70.0,25.0,30.0,Anxiety
296,33.0,Non-binary,Twitter,85.0,4.0,35.0,18.0,18.0,Boredom
297,22.0,Female,Facebook,70.0,1.0,14.0,6.0,10.0,Neutral
298,35.0,Male,Whatsapp,110.0,3.0,50.0,25.0,25.0,Happiness
299,28.0,Non-binary,Telegram,60.0,2.0,18.0,8.0,18.0,Anger
300,27.0,Female,Snapchat,120.0,4.0,40.0,18.0,22.0,Neutral
301,25.0,Female,Instagram,120.0,5.0,50.0,20.0,25.0,Happiness
302,30.0,Male,Twitter,90.0,4.0,30.0,20.0,22.0,Anger
303,22.0,Non-binary,Facebook,60.0,2.0,20.0,10.0,15.0,Neutral
304,28.0,Female,Instagram,200.0,8.0,110.0,40.0,45.0,Anxiety
305,33.0,Male,LinkedIn,45.0,1.0,10.0,5.0,12.0,Boredom
306,21.0,Male,Instagram,150.0,5.0,65.0,25.0,30.0,Happiness
307,27.0,Female,Twitter,85.0,3.0,40.0,18.0,20.0,Anger
308,24.0,Non-binary,Facebook,110.0,6.0,35.0,16.0,25.0,Sadness
309,29.0,Female,LinkedIn,55.0,2.0,15.0,5.0,10.0,Neutral
310,31.0,Male,Instagram,170.0,7.0,90.0,35.0,40.0,Happiness
311,23.0,Female,Twitter,75.0,4.0,45.0,20.0,25.0,Anxiety
312,26.0,Non-binary,Facebook,95.0,3.0,30.0,14.0,18.0,Sadness
313,34.0,Male,LinkedIn,65.0,1.0,14.0,6.0,15.0,Boredom
314,22.0,Female,Instagram,180.0,8.0,100.0,38.0,45.0,Happiness
315,28.0,Male,Twitter,100.0,6.0,50.0,30.0,29.0,Anger
316,21.0,Non-binary,Facebook,40.0,1.0,10.0,4.0,12.0,Neutral
317,35.0,Female,Instagram,125.0,5.0,65.0,22.0,28.0,Anxiety
318,27.0,Male,Twitter,90.0,3.0,40.0,16.0,24.0,Sadness
319,23.0,Non-binary,LinkedIn,50.0,1.0,12.0,6.0,12.0,Neutral
320,32.0,Female,Instagram,140.0,6.0,75.0,28.0,30.0,Happiness
321,26.0,Male,Facebook,75.0,2.0,30.0,14.0,20.0,Anxiety
322,24.0,Female,Twitter,105.0,4.0,35.0,20.0,23.0,Anger
323,29.0,Male,LinkedIn,60.0,2.0,17.0,8.0,15.0,Boredom
324,33.0,Non-binary,Instagram,190.0,8.0,105.0,36.0,50.0,Happiness
325,22.0,Female,Twitter,70.0,3.0,25.0,16.0,15.0,Sadness
326,31.0,Male,Facebook,80.0,2.0,20.0,10.0,20.0,Neutral
327,27.0,Non-binary,LinkedIn,55.0,1.0,12.0,5.0,11.0,Anxiety
328,25.0,Female,Instagram,160.0,6.0,85.0,26.0,30.0,Happiness
329,30.0,Male,Twitter,90.0,4.0,43.0,19.0,24.0,Anger
330,26.0,Non-binary,Facebook,45.0,1.0,8.0,4.0,12.0,Sadness
331,34.0,Female,LinkedIn,65.0,2.0,17.0,5.0,14.0,Boredom
332,28.0,Male,Instagram,145.0,7.0,80.0,30.0,35.0,Happiness
333,23.0,Non-binary,Twitter,70.0,3.0,30.0,14.0,18.0,Neutral
334,21.0,Female,Instagram,130.0,6.0,95.0,22.0,28.0,Sadness
335,29.0,Male,Facebook,65.0,2.0,27.0,11.0,22.0,Anxiety
336,24.0,Non-binary,LinkedIn,55.0,1.0,11.0,6.0,11.0,Boredom
337,33.0,Female,Instagram,170.0,7.0,95.0,30.0,38.0,Happiness
338,27.0,Male,Twitter,85.0,4.0,45.0,18.0,24.0,Anger
339,22.0,Female,Instagram,115.0,3.0,60.0,17.0,30.0,Neutral
340,28.0,Non-binary,Facebook,100.0,2.0,22.0,12.0,25.0,Anxiety
341,31.0,Male,LinkedIn,45.0,1.0,9.0,4.0,10.0,Sadness
342,25.0,Female,Instagram,150.0,6.0,90.0,26.0,30.0,Happiness
